DATE,REV622ALLEST144QSA
10/1/04,150574
1/1/05,152362
4/1/05,153319
7/1/05,157568
10/1/05,157783
1/1/06,160081
4/1/06,162764
7/1/06,165671
10/1/06,169284
1/1/07,172192
4/1/07,174276
7/1/07,177107
10/1/07,179300
1/1/08,182691
4/1/08,182492
7/1/08,183249
10/1/08,183727
1/1/09,189127
4/1/09,193135
7/1/09,196132
10/1/09,196246
1/1/10,194837
4/1/10,198871
7/1/10,203507
10/1/10,205443
1/1/11,207047
4/1/11,209254
7/1/11,207742
10/1/11,213088
1/1/12,218241
4/1/12,217307
7/1/12,221418
10/1/12,219884
1/1/13,221548
4/1/13,223201
7/1/13,224781
10/1/13,228865
1/1/14,225710
4/1/14,231055
7/1/14,236131
10/1/14,240621
1/1/15,245589
4/1/15,245955
7/1/15,246042
10/1/15,246142
1/1/16,251591
4/1/16,258288
7/1/16,257860
10/1/16,263405
1/1/17,264861
4/1/17,263605
7/1/17,269610
10/1/17,272875
1/1/18,273332
4/1/18,278449
7/1/18,284171
10/1/18,279932
1/1/19,292520
4/1/19,296140
7/1/19,298630
10/1/19,304038
1/1/20,290093
4/1/20,285250
7/1/20,312235
10/1/20,324531
1/1/21,320690
4/1/21,333048
7/1/21,336951
10/1/21,339175
1/1/22,323197
4/1/22,312036
7/1/22,332687
10/1/22,350285
1/1/23,354716
4/1/23,361160
